geoid,lat,lon,population
484530367003,30.1924564,-97.9016538,2150
484530013121,30.2460782,-97.7620349,1032
484910205172,30.5004101,-97.742775,1026
484910215092,30.5818724,-97.6497288,1993
484910208183,30.5633553,-97.6113322,3907
484530412001,30.4000489,-97.6816424,1782
484530403001,30.3463938,-97.68552,2272
484530446001,30.4251934,-97.6389603,2126
484530006063,30.2894014,-97.746111,1008
484530021054,30.3169564,-97.7053727,2098
484530024481,30.2112627,-97.698215,391
484530442001,30.4301484,-97.663273,6386
484530021103,30.271753,-97.6795485,1632
484910212033,30.5792669,-97.4139504,625
484910213003,30.7103392,-97.4457168,564
484530434002,30.3247377,-97.7012658,1998
484530333001,30.1632825,-97.8688188,1578
484530312003,30.2208956,-97.8709661,1220
484530013041,30.2432154,-97.7739904,1600
484530013044,30.2495826,-97.7704511,750
484530002041,30.3003039,-97.7429433,1034
484530019142,30.2471097,-97.835392,1320
484530010005,30.253259,-97.7333118,507
484530021113,30.2582523,-97.6793836,2550
484530023143,30.2287064,-97.7233906,2046
484910207061,30.5156715,-97.6172765,2794
484910205091,30.503101,-97.763969,2898
484530414002,30.4196744,-97.7127716,1807
484530452001,30.4254636,-97.6933457,2331
484530421001,30.4219858,-97.6985626,522
484530024422,30.1769989,-97.7552475,2019
484530402002,30.3266444,-97.680705,1621
484530015014,30.342315,-97.7425532,1774
484530015031,30.3200145,-97.719512,1371
484530003042,30.3105055,-97.7192952,1594
484530002031,30.3080669,-97.7379856,562
484910208201,30.5381458,-97.5536571,2404
484530008022,30.274356,-97.7038305,1208
484530022111,30.2742994,-97.6192562,4690
484530024361,30.1265807,-97.6818965,1345
484530406001,30.3661798,-97.7011105,1295
484530006051,30.2968138,-97.748605,1231
484910201212,30.6410799,-97.6929959,492
484910201062,30.7058887,-97.6869866,1073
484910206091,30.5671048,-97.756866,938
484530024111,30.2084521,-97.7468474,1713
484530453002,30.3974697,-97.7129951,2170
484530417002,30.389777,-97.6955838,1294
484530024093,30.2032719,-97.7942807,1108
484530024101,30.2092503,-97.7845904,1897
484910203321,30.5607856,-97.8517988,734
484530024383,30.1685821,-97.8137161,1316
484530320001,30.2254932,-97.836736,1268
484530310002,30.2069478,-97.8333743,786
484530310001,30.2054581,-97.824768,1556
484530360001,30.5427554,-97.9046081,638
484530362001,30.5290497,-97.9118007,2473
484530403004,30.3533277,-97.6888401,1050
484530361001,30.5286086,-97.8795544,5762
484530342002,30.4378031,-97.7478964,1173
484530420002,30.4312879,-97.7190377,1363
484530019231,30.2600636,-97.7778863,2036
484530464002,30.4738854,-97.6603794,2436
484530436002,30.3366945,-97.6648121,1866
484530341002,30.444446,-97.7483081,1272
484530012004,30.2678356,-97.7544259,3571
484530462001,30.4777105,-97.6349758,3922
484530023041,30.2442403,-97.7278838,1498
484530443003,30.4253426,-97.6505522,1798
484530023253,30.2326242,-97.7021236,2114
484530400001,30.3381903,-97.7057278,1989
484530024381,30.1572832,-97.8146341,3247
484530359001,30.556172,-97.9308508,367
484530306005,30.3475684,-97.7679433,1542
484530332001,30.1331438,-97.8410832,3244
484530024371,30.1659019,-97.7948187,1959
484530020032,30.2191547,-97.7700294,1800
484530019141,30.247825,-97.8260227,1045
484910206092,30.5766938,-97.7319486,1434
484910202052,30.7388029,-97.8156608,2115
484910215171,30.5223288,-97.6653614,1074
484910202051,30.7091936,-97.855148,2341
484910208221,30.6582468,-97.6175791,2497
484910201201,30.6646698,-97.8474905,4395
484910203342,30.4773104,-97.8240389,1250
484530019113,30.2658389,-97.7751242,815
484530321002,30.2247727,-97.8151063,1237
484530465002,30.4502166,-97.660526,1153
484530441002,30.4396877,-97.6500055,2082
484530468001,30.4779753,-97.5597221,4805
484530024192,30.1903837,-97.7644093,1739
484530024531,30.1739072,-97.5919032,703
484530352001,30.4047583,-98.0450453,2486
484910208222,30.6141149,-97.5715807,1209
484530439003,30.4123175,-97.6630974,1655
482090109201,30.0241697,-97.7473311,3137
482090109171,29.9663893,-97.859477,5034
484910204041,30.4573491,-97.8154575,1775
484530019181,30.2998867,-97.8009244,778
484530021132,30.3144843,-97.6755752,1119
484530349001,30.3806574,-97.8900018,3109
484530469003,30.4607081,-97.5892047,2745
482090108131,30.027242,-98.1359745,901
482090109181,29.9652848,-97.8406646,3412
484910201141,30.6722298,-97.6921372,2500
482090109111,30.1131015,-97.853304,2435
482090109232,30.0771598,-97.8017404,8144
484530021121,30.3179053,-97.68751,1073
484910201081,30.6988531,-97.6759821,646
484910204111,30.4660938,-97.7386536,3343
484910204103,30.445995,-97.7616316,1272
484910207043,30.5001238,-97.6646428,2457
484530022011,30.3194947,-97.6548921,1635
484530368002,30.1851523,-97.8767129,1914
484530444004,30.439274,-97.6403719,876
484910214022,30.636895,-97.6780252,1661
484910214024,30.6258987,-97.6861639,1231
484530023212,30.234071,-97.6902858,898
484530431002,30.3526208,-97.6935937,690
484530023243,30.2355622,-97.7175168,731
484530024191,30.1954505,-97.7637023,1083
482090108071,30.1335384,-98.126104,2851
482090108072,30.1389062,-98.1960435,1442
482090108061,30.1325507,-98.0565067,2029
484530370001,30.3260023,-97.9852552,2144
484530005004,30.2935354,-97.7308719,489
484530023252,30.2275429,-97.7046691,718
484530023254,30.2323182,-97.7143954,608
484530022222,30.2974783,-97.6292813,1006
484530022152,30.2627215,-97.5917232,2612
484530350003,30.3619897,-97.8855373,3459
484530435001,30.3806358,-97.6485117,1566
484530357001,30.4576894,-97.8565544,1508
484530407005,30.3737784,-97.7171922,1194
484910205083,30.5000715,-97.7826965,736
484910203502,30.5190348,-97.8033146,2229
484530449001,30.3984263,-97.6143687,2570
484530305002,30.3784637,-97.7894043,1809
484530022012,30.3072252,-97.6550924,856
484530019102,30.2676259,-97.8127632,1102
484530021063,30.3057436,-97.6934095,1131
484530402001,30.3257814,-97.688573,1551
484530320002,30.2342266,-97.8327806,1268
484530436003,30.3333438,-97.6761858,1030
482090109191,30.0250173,-97.8420305,6119
482090108142,30.0293179,-98.1149136,2097
482090103073,29.8868663,-97.9209624,1012
482090103023,29.8768508,-97.9250003,2661
484530012005,30.270168,-97.7598134,586
484530400004,30.3475531,-97.707704,1313
484530302002,30.3780879,-97.7426101,1035
484530016032,30.3050217,-97.7556922,932
484530016033,30.2968156,-97.7525856,345
484530347002,30.2227777,-97.8814398,2995
484530013042,30.2543893,-97.7723068,1429
482090108133,30.0384256,-98.1590662,357
482090108112,30.027916,-98.2245424,2173
482090109132,30.0489282,-97.8529009,2615
482090109121,30.1403641,-97.9405419,5895
482090108122,29.9966053,-98.0496782,458
482090108063,30.1730489,-98.0659967,1470
482090108181,30.2899527,-98.1442884,1966
482090108172,30.2441676,-98.1836942,1968
482090109141,30.083739,-97.9535376,1456
482090103092,29.924851,-97.8978962,1955
482090102004,29.8895334,-97.9500331,2017
484530376001,30.384099,-97.9981721,1671
484910201161,30.7293675,-97.6947545,2470
484910203351,30.502619,-97.8417687,2719
484530311001,30.2015359,-97.9406526,3280
484530019222,30.250589,-97.7900043,1119
484530459001,30.377896,-97.5003645,9632
484530355002,30.4749754,-97.8517555,1979
484910204091,30.4697526,-97.7638348,4029
484910208082,30.6023035,-97.4603092,779
484910201082,30.69012,-97.6650743,1167
484910202031,30.7263235,-97.7361764,847
484530453001,30.4050765,-97.7069675,1851
484910207072,30.5012635,-97.6514352,2529
484910216022,30.7156334,-97.5907476,2018
484530020062,30.2350232,-97.7761059,1256
484530401003,30.3596238,-97.7099045,1035
484530409004,30.369921,-97.7015678,2037
484530406003,30.3615461,-97.7013235,1332
484530024453,30.1198556,-97.7723466,3038
484530367001,30.1884811,-97.8958799,2343
484530415002,30.3832595,-97.6693418,1156
484530024032,30.2068841,-97.765919,1071
484530019162,30.3041386,-97.8520034,801
484530005001,30.2985208,-97.7378186,1408
484530023074,30.2302088,-97.7396708,929
484530023132,30.2253461,-97.7324983,1668
484530023131,30.2183867,-97.7237709,1795
484530427001,30.4603664,-97.64134,1991
484530019143,30.2513378,-97.8428626,1323
484530404001,30.3677025,-97.7294557,913
484530405001,30.3664207,-97.7234381,2719
484530019201,30.2494198,-97.8896082,1832
484530311002,30.226494,-97.9019313,1868
484530459002,30.3574773,-97.5254795,4519
484530357002,30.4647918,-97.842094,877
484530405002,30.3554686,-97.7182668,2160
484530401001,30.3559507,-97.7126267,2224
484530418003,30.3938058,-97.6995756,356
484530401002,30.3564425,-97.7045101,1224
484530465001,30.4625119,-97.6582189,1978
484530432001,30.349891,-97.6957848,1593
484530431003,30.3552366,-97.6974369,566
484530321003,30.2143161,-97.8173585,2039
484530023261,30.244493,-97.7125417,908
484530343002,30.4433149,-97.8221276,1641
484530301001,30.3819418,-97.7565299,941
484530351001,30.3436009,-97.911801,4102
484530303002,30.2205495,-97.8007793,1463
484530304003,30.2146481,-97.8058099,1747
484530021101,30.2689593,-97.6846525,890
484530021111,30.2682835,-97.6923533,1448
484530021112,30.2540528,-97.6948384,1378
484910203231,30.5367259,-97.8542268,2359
484910207132,30.494424,-97.6251055,1790
484530331002,30.359797,-97.9916606,1725
480559604002,29.8867307,-97.6758234,502
484910203493,30.5212089,-97.8216697,1777
480559602004,29.8739951,-97.664481,833
480559603003,29.8623269,-97.6967152,1652
484530443002,30.4184988,-97.6541239,2428
484530014012,30.2572229,-97.7446876,539
484530342003,30.4322725,-97.752259,1818
484530022172,30.3444148,-97.5337667,3967
484530456001,30.459202,-97.6842684,1700
484530469001,30.4547865,-97.5673635,3568
484530346002,30.4067403,-97.846335,2996
484530024483,30.1829936,-97.7262826,2868
484530013091,30.2651797,-97.7605954,1526
484530354003,30.359849,-98.0159949,2281
484530422003,30.4122241,-97.695276,2449
484530305001,30.3966919,-97.8043068,3527
484530024402,30.1433152,-97.7448582,4641
484530327001,30.4249217,-97.7730178,2216
484530407004,30.375428,-97.7141391,1626
484530023141,30.2311144,-97.7241938,180
484530024302,30.1699219,-97.7492264,80
484530024301,30.1740721,-97.7480789,0
484530024092,30.2047319,-97.7976365,1069
484530426001,30.4542903,-97.6390735,1487
484530002063,30.3280186,-97.7412785,1305
484530025002,30.4210139,-97.7533129,1135
484530024231,30.1793742,-97.8054217,1678
484530019151,30.2405635,-97.8366971,3233
484530359003,30.5602107,-97.9004819,230
484530341003,30.4407482,-97.7442423,1681
480219503011,30.1272044,-97.3614341,1225
484530310003,30.1981269,-97.8353925,2127
484530023221,30.2249124,-97.7587391,1960
484530024421,30.1812544,-97.7552919,1201
484530306002,30.3544513,-97.762789,1424
484530306004,30.3447796,-97.7589532,1065
484530306003,30.3466117,-97.7525795,1350
484530319002,30.165058,-97.8255046,1527
484530006064,30.2891904,-97.7429845,1426
484530016053,30.282437,-97.754079,710
484530016054,30.2822969,-97.7597566,1182
480219508062,29.9432759,-97.420822,1750
480219503031,30.1445973,-97.4983991,1913
480219501011,30.2492082,-97.3808682,3360
480219508043,30.0968716,-97.5792351,1410
480219505051,30.1905899,-97.2835102,2472
480219505043,30.1942313,-97.1956124,1215
484530022201,30.3164241,-97.6404942,3940
484530011031,30.2581513,-97.7397012,2607
484910203271,30.5126837,-97.8368827,2635
484530004021,30.2876972,-97.7122116,2080
484530368001,30.1876407,-97.8877829,2364
484530403002,30.3513395,-97.6788215,1440
484530439002,30.3972428,-97.6474639,4642
482090108091,30.2191462,-98.0044381,3397
482090102002,29.8885725,-97.9383923,1190
482090101002,29.8772377,-97.9505626,1365
484530324001,30.3907522,-97.7387405,1461
484530301003,30.384552,-97.7480286,1206
484530407002,30.3727881,-97.7199207,815
484530404002,30.361396,-97.736768,872
484530023231,30.2381013,-97.748289,1327
484530354002,30.3518902,-98.0442017,739
484910203102,30.5301592,-97.7334448,1430
484910204081,30.4660085,-97.7869768,2656
484530306001,30.3512928,-97.7557519,623
484530006082,30.2836545,-97.7434434,1773
484530376002,30.4696007,-97.9367006,1035
484530365001,30.3147491,-98.0442382,5581
484530021102,30.2780303,-97.6724415,1462
484530340003,30.3297172,-97.9451891,2712
484530003025,30.3034546,-97.7346888,1116
484530022151,30.2561862,-97.5698366,1585
484910203531,30.5190347,-97.8468866,1654
484910203532,30.5252557,-97.849016,1879
484910203194,30.5596202,-97.8115424,3616
484910203191,30.5548658,-97.8372258,2480
484530024132,30.2007263,-97.7381872,1471
484910215062,30.549732,-97.6209484,2310
484910211002,30.570699,-97.4283079,1599
484530421003,30.41657,-97.6762212,1084
484530315004,30.3595298,-97.9307638,2009
484910202061,30.8417951,-97.8096985,1273
484910205162,30.4925601,-97.7702626,1097
484910202062,30.8058005,-97.8681842,1480
484910203362,30.487393,-97.8339689,1179
484530024102,30.2019092,-97.7889638,1555
484910212011,30.5870875,-97.435939,1984
484530021071,30.2896637,-97.6883221,870
484530021072,30.2959769,-97.6810896,1176
484530021073,30.3007794,-97.6789798,1321
484910201061,30.7159725,-97.6755824,1854
484530309002,30.1898798,-97.819908,2779
484530330002,30.2405798,-97.8993997,2608
484530019104,30.2680866,-97.7978191,706
484530314001,30.4179595,-97.9377329,2057
484530024431,30.203142,-97.7694308,1294
484530347003,30.2144209,-97.8881991,1287
484910203261,30.4898915,-97.8466294,2055
484530444005,30.4366947,-97.6342506,793
484530425002,30.4212769,-97.5540347,2688
484530016041,30.2992975,-97.7824293,1491
482090106032,29.8966397,-98.0344929,1410
482090108102,29.9606329,-98.1339896,1181
482090105003,29.8328983,-97.9846371,1692
482090107032,29.9026393,-97.9441081,3206
482090109161,30.007707,-97.8365666,1664
482090103051,29.8861654,-97.8986181,1563
482090103081,29.8942956,-97.9168266,869
482090108093,30.2169195,-98.0519608,3877
482090109162,29.9855008,-97.8489318,5399
484910201202,30.6678468,-97.8298197,951
484910215132,30.5412508,-97.6856318,1416
484530428001,30.4479395,-97.623758,2104
484530013111,30.2582419,-97.7524205,1323
484530024491,30.1666775,-97.6393221,4180
484530013123,30.2532837,-97.7582224,1836
484530016044,30.2951537,-97.7728125,1258
484530016051,30.291025,-97.7660167,2272
484530016052,30.2872384,-97.7593565,833
484530408003,30.3842914,-97.7110517,1965
484530405003,30.357715,-97.7260069,1449
484530330001,30.2358706,-97.8873685,3091
484530347001,30.2306459,-97.8711823,1251
482090109251,30.0123024,-97.8541016,2465
484530016043,30.3026924,-97.7715088,728
484910204063,30.4409239,-97.7684202,2089
484910205174,30.4898362,-97.7331193,2140
484910205052,30.5172627,-97.7094415,1940
484530024472,30.2065646,-97.7271093,1000
484530410001,30.3755002,-97.6839264,1562
484530374003,30.434577,-98.022071,1646
484530019202,30.2462086,-97.871677,3251
484530021093,30.2830113,-97.679436,1470
484530023161,30.2390961,-97.7290694,1568
482090109052,29.9997749,-97.8900197,2502
484910212031,30.5974452,-97.4050923,977
484530422002,30.4142999,-97.6999789,964
484530300002,30.3651822,-97.7659989,872
484530316002,30.4176999,-97.7356464,1159
484530325001,30.4089097,-97.7403605,1701
484530413002,30.4271204,-97.7270003,1157
484530023071,30.2222661,-97.7395811,1463
484530451002,30.4357046,-97.6929071,591
484530413003,30.4167388,-97.7262953,1276
484530466002,30.4908724,-97.5777846,5491
484530022181,30.3338758,-97.5319829,1078
484530013102,30.2546801,-97.7649644,1724
484530020061,30.2305719,-97.7797172,928
482090106021,29.8692876,-97.9790571,397
482090103082,29.8954517,-97.9208352,787
482090107034,29.893666,-97.9372365,653
482090109182,29.978989,-97.8562068,1874
482090103071,29.8885754,-97.9277952,842
482090108161,30.1882112,-97.9753136,2905
484910203561,30.4808163,-97.8181232,1264
484910203193,30.5548902,-97.8277141,1471
484910207131,30.493069,-97.6131425,2053
484910203512,30.546196,-97.8271639,1148
484910215162,30.5648179,-97.6538284,1407
484910203322,30.5670703,-97.8577324,3090
484910215103,30.567681,-97.6884377,957
480219502011,30.3326741,-97.3587438,1000
480219505061,30.1855475,-97.3339723,2688
480219506011,29.9640442,-97.2588996,1238
480219505031,30.1735054,-97.1055863,717
484530020021,30.2239737,-97.783038,1823
484530019203,30.2654477,-97.8977772,1783
482090107022,29.9760351,-97.9581423,1441
482090109091,30.0110912,-97.8833314,718
484530433002,30.3308302,-97.6910784,1906
484530003093,30.3020804,-97.7059301,2525
484530460001,30.4976035,-97.5923565,2271
484530317003,30.187371,-97.8417464,2441
484530462003,30.4734146,-97.6271679,1947
484910206023,30.5225067,-97.6988309,1878
484530016034,30.2932096,-97.7550104,1063
484910204113,30.4514526,-97.7549107,728
484910201213,30.6468845,-97.6948229,2129
