geoid,name,lat,lon,pop,housing_units,area_sqkm
48453001912,19.12,30.3257598,-97.820508,4385,1786,14.67235734658484
48491020410,204.10,30.442969,-97.7641751,5849,2807,2.676665886566634
48491020403,204.03,30.4617676,-97.8044633,2555,1191,1.568962254863477
48491020404,204.04,30.4551582,-97.8160708,3437,1366,1.475587199410096
48491020405,204.05,30.4482109,-97.7942516,6681,3027,3.084754744444533
48491020406,204.06,30.4525104,-97.7706787,7012,3922,2.7624758280753907
48491020503,205.03,30.4854122,-97.7148876,6258,2323,15.321832598563175
48491020311,203.11,30.4844971,-97.7975309,10330,4807,7.149711358962316
48491020408,204.08,30.4614031,-97.7859725,5460,2599,3.336628229625109
48453001915,19.15,30.2405635,-97.8366971,3404,2002,6.1813623006722915
48453002434,24.34,30.0728551,-97.743328,2110,626,55.769530026668
48453002211,22.11,30.2742994,-97.6192562,3592,1245,6.799961306029035
48453002500,25,30.4166759,-97.7551447,5540,3036,3.4199338844624054
48453002432,24.32,30.1302451,-97.7195595,4097,1572,44.48433213832427
48209010912,109.12,30.1325347,-97.9276985,8414,2969,74.82804051280307
48453002112,21.12,30.3139236,-97.6825978,5236,2104,1.7034544971901797
48453002113,21.13,30.3171304,-97.6724281,3484,1350,2.0940153081396753
48453002201,22.01,30.3181765,-97.6557255,2114,713,5.091026206549675
48453980000,9800,30.1946633,-97.6666609,3,1,17.319991155591076
48453002304,23.04,30.2434629,-97.7233037,4166,3194,1.5495400121657583
48453002314,23.14,30.2246951,-97.7155158,5999,3584,2.4816241180128285
48453002316,23.16,30.2392703,-97.7304228,4737,2454,0.7004929371037688
48453002403,24.03,30.2120632,-97.762234,2706,1261,2.577160485862414
48453002409,24.09,30.207529,-97.7935778,3327,1431,1.3376609953745784
48453002410,24.10,30.2057699,-97.7866639,3542,1766,1.21148550383032
48453002411,24.11,30.2052804,-97.7489175,5730,1663,3.968011842754726
48453002412,24.12,30.1893961,-97.7514851,5109,1389,1.3897646922999987
48453002413,24.13,30.197092,-97.7402707,4193,1278,1.3418668921779133
48453002419,24.19,30.1912772,-97.7608947,4839,2283,1.355521813157204
48453002422,24.22,30.1834393,-97.784813,6118,3244,4.031635025530722
48453002423,24.23,30.1797327,-97.8062117,6457,2553,2.6211197452168613
48453002424,24.24,30.1921887,-97.7992486,3500,1532,2.7649341811051107
48453002310,23.10,30.2423539,-97.6592003,3090,971,18.64418840316475
48453040700,407,30.3718046,-97.7148275,7248,3137,1.9715074872270946
48453041900,419,30.3924913,-97.6904457,3237,1541,2.6560942311212585
48453041100,411,30.3851014,-97.6791969,1762,842,1.4397595365257918
48453036700,367,30.1956961,-97.9036899,7934,2474,7.448622118893428
48453044000,440,30.3986848,-97.6632231,3167,1445,2.3444392001156857
48453043700,437,30.392312,-97.6673246,2332,1038,0.910768872390257
48453036800,368,30.1855769,-97.8787421,4462,1439,6.032423237778773
48453041500,415,30.3801479,-97.6688196,2659,1199,1.501402227363784
48453002213,22.13,30.2881558,-97.6404916,5253,1667,3.2709562640031713
48453002447,24.47,30.2048955,-97.7279383,3393,984,4.040853057881062
48453041000,410,30.3700998,-97.6868972,7089,2476,2.4592515492889264
48453001312,13.12,30.248423,-97.7579482,4575,2395,1.9683139731545227
48453044900,449,30.3914083,-97.6222572,8901,2869,15.446341372888037
48453002453,24.53,30.1805496,-97.5664907,6085,1802,63.13375621038004
48453041600,416,30.3640039,-97.6764974,7549,2772,3.2504257694607035
48453040000,400,30.341939,-97.7073241,6361,2726,2.194197696812127
48453034500,345,30.4326163,-97.8215891,2346,689,1.7014531111134452
48453032400,324,30.3907522,-97.7387405,1558,1170,2.3181577743391286
48453033800,338,30.4293747,-97.7930498,5004,1723,3.4645262464619027
48453030100,301,30.3825183,-97.7552019,3607,1918,2.6009870053783524
48453030800,308,30.3988616,-97.7530227,3893,2650,2.827972504097724
48453031600,316,30.4244145,-97.7378601,2365,1050,3.373726081077083
48453032500,325,30.4064883,-97.7371433,4759,2344,3.1663562436736585
48453045600,456,30.4670523,-97.6806292,5619,2244,3.2624146678413446
48453043000,430,30.449032,-97.7018024,3774,2368,5.219668891978415
48453034200,342,30.433621,-97.7485601,6365,3258,2.1887686455857587
48453041300,413,30.4215757,-97.7237276,4285,1714,2.3603478719334197
48453042000,420,30.4359727,-97.7137497,2436,1032,5.758804105989756
48453045100,451,30.4330873,-97.6924317,2812,1401,1.4272066372110752
48453041400,414,30.416408,-97.7128269,2538,1498,1.7075922870367384
48453032100,321,30.2227903,-97.8190628,5434,3181,6.070399296949967
48453043100,431,30.3568037,-97.6945958,3005,1372,0.9084486113936687
48453046400,464,30.4727742,-97.6581965,3537,1595,3.3615315462957005
48453040200,402,30.3261722,-97.6850111,3013,1397,1.446872486915653
48453033900,339,30.3329212,-97.8698378,5638,2157,14.914016733529326
48453045200,452,30.4244581,-97.6887856,4226,2012,1.687990254095518
48453042200,422,30.4119145,-97.7017819,4008,2222,1.7406375647542072
48453030000,300,30.3698666,-97.7739646,4933,2246,5.399228990336721
48453043800,438,30.3837964,-97.6583073,3272,1375,1.6725159237690346
48453030500,305,30.3934971,-97.8025854,6521,3175,20.852701049782855
48453032800,328,30.3978551,-97.7639672,2206,1064,2.1865311249691595
48453001311,13.11,30.2582419,-97.7524205,1656,1227,1.1716844716723815
48453002449,24.49,30.1596781,-97.6563207,6501,1760,19.21936326127204
48453035800,358,30.4243363,-97.8684713,4420,2112,30.691349111154466
48453045700,457,30.4538873,-97.6721924,3687,1494,2.9075320663417377
48453042900,429,30.4323294,-97.6762801,3218,1881,1.4703864007265512
48453031300,313,30.1900428,-97.8571114,4527,2052,4.720183130026128
48453031900,319,30.1702304,-97.8391279,6160,2569,5.35576326080387
48453044600,446,30.4211949,-97.6367359,5112,1685,2.4094756001009707
48453046500,465,30.4576023,-97.6593021,3407,1551,3.7647427363594006
48453044100,441,30.4408319,-97.6526973,3933,1631,2.8364267135027683
48453002439,24.39,30.1629166,-97.7511064,3265,978,2.9649014234111393
48453042100,421,30.4128633,-97.6797798,5088,2242,3.391123667827963
48453043900,439,30.4072295,-97.6572568,8592,3853,5.837508027280927
48453033500,335,30.2047099,-97.849773,5460,2410,2.674587952536009
48453002440,24.40,30.1448973,-97.748099,6905,2530,10.893016794368329
48453002446,24.46,30.1274335,-97.7891871,1453,777,7.459963047333629
48453002445,24.45,30.1198599,-97.7721386,8161,3257,12.552759134397286
48453002442,24.42,30.1783061,-97.7552612,3426,1048,1.2370914962264319
48453035600,356,30.4624119,-97.8909559,2033,976,43.617672344413776
48453002219,22.19,30.2804825,-97.5377149,6614,2064,111.63522921283635
48491020517,205.17,30.4933139,-97.7418605,5943,2142,4.186476629033861
48491020333,203.33,30.4667601,-97.8304796,4908,1817,2.5798694405870957
48453001923,19.23,30.2562909,-97.7792174,3274,1892,1.7821160733998906
48453033000,330,30.2426667,-97.9012765,7074,3295,8.986809172542866
48453001309,13.09,30.2613185,-97.7639365,2707,1673,1.105153769470039
48453034000,340,30.3222727,-97.9260676,7381,2689,18.695102883520857
48453030200,302,30.3727852,-97.7463444,4754,2506,2.7952792762470984
48453032200,322,30.3628734,-97.7577515,2251,996,1.5327168359015786
48453032300,323,30.3576147,-97.7498273,3908,2500,0.9363513613614286
48453030700,307,30.3494775,-97.7806389,3979,1696,5.280279436870242
48453032000,320,30.2305183,-97.8442213,6301,3102,4.370204876759192
48453043500,435,30.3621556,-97.6590251,7281,3127,7.972568204790734
48453042400,424,30.3632228,-97.5756802,11722,4240,61.054308381050056
48453040300,403,30.3451014,-97.6875541,7645,2674,3.5578408630767893
48453043600,436,30.3379331,-97.6621546,3854,1993,7.67528853060147
48453031800,318,30.1807637,-97.8246003,5255,2184,2.3786975479704546
48453031700,317,30.1860731,-97.8382648,4509,1957,2.514693182127224
48453031000,310,30.2027508,-97.8293774,4981,2383,3.152353948592208
48453002323,23.23,30.2324995,-97.75025,4470,1583,2.0423393856060423
48453002322,23.22,30.2230128,-97.7556663,2011,1163,1.2301718303685345
48453030600,306,30.3483141,-97.761023,5879,3078,3.519721808006279
48453002438,24.38,30.1620667,-97.8126155,7319,3200,5.440576970544862
48453000608,6.08,30.2849961,-97.7433474,5286,2040,0.18901835572269018
48453000606,6.06,30.2907019,-97.7438667,5012,2413,0.31356038063336084
48453000607,6.07,30.2857467,-97.74946,4268,2142,0.4778368528140546
48453001101,11.01,30.2711103,-97.7424793,2258,859,1.1447317603109246
48453001310,13.10,30.2562162,-97.7625865,3489,2537,0.6350093267333952
48453001102,11.02,30.2659142,-97.7480328,4013,2926,0.521530730431456
48453033300,333,30.1633154,-97.8836762,9564,3016,19.60481172943155
48453030900,309,30.1957423,-97.8165609,7195,3235,3.6128913594133794
48453045000,450,30.3712916,-97.6410467,2554,987,5.384189655126516
48453002221,22.21,30.3203582,-97.6171415,2709,758,5.079785537951771
48453002006,20.06,30.2325148,-97.778141,2890,1565,0.7278960951562906
48453002007,20.07,30.237183,-97.7816995,2271,1501,0.8740619655868924
48453034800,348,30.2059802,-97.8810461,5129,2049,4.338415752390984
48453000605,6.05,30.2961873,-97.7462668,4645,2138,0.4766262292273773
48453031500,315,30.3628168,-97.9310395,7498,3022,21.80411908921913
48453034900,349,30.3794397,-97.9002912,7596,2440,7.90090197374838
48453031200,312,30.2186217,-97.8606963,6661,2738,4.964905118662649
48453045400,454,30.3918865,-97.725016,6785,5310,4.812466228461202
48453045300,453,30.3995463,-97.7113498,4120,2594,2.659465048157673
48453040400,404,30.3666043,-97.7346717,3962,2220,2.4981020685449478
48453001920,19.20,30.2558164,-97.8874984,6872,2728,9.91564088623723
48491020516,205.16,30.4927832,-97.761021,6548,1954,3.406659330240821
48453002324,23.24,30.2351289,-97.7188726,1671,873,0.31853374168962234
48453041200,412,30.4022505,-97.6830267,2811,1417,3.2202687622228154
48453044700,447,30.4143113,-97.6281881,2026,639,1.7546167682342393
48453002450,24.50,30.1373273,-97.6130311,3538,996,29.685694690773513
48453002220,22.20,30.3169719,-97.6396062,3795,1234,5.083961848552759
48491020334,203.34,30.472355,-97.8157906,6344,3330,4.364566107605208
48491020356,203.56,30.4811796,-97.8143656,3446,1946,1.7726305426870685
48209010923,109.23,30.0548139,-97.7892051,8125,3000,25.82626175937207
48453040500,405,30.3602083,-97.7222096,5312,2260,2.5775339143629767
48453031100,311,30.2148778,-97.9171838,4241,1527,22.83403216353753
48453035700,357,30.4604065,-97.8508158,4785,1560,3.390942743044268
48453040800,408,30.3809804,-97.7086052,5056,1963,2.666867809979027
48453040100,401,30.3571952,-97.710326,4302,1841,1.5207632699909885
48453041800,418,30.3959664,-97.7013724,3675,1658,1.022592932566305
48453041700,417,30.3884926,-97.7000985,2158,932,1.0820299405788385
48453002443,24.43,30.1993289,-97.7710939,4088,2408,1.7553241979850258
48453034700,347,30.2224767,-97.8809046,5683,2536,4.256803609285877
48453037200,372,30.1563493,-97.8441055,6211,2209,2.9812508686588606
48453002444,24.44,30.2039871,-97.7790923,4226,1907,1.8205710401241901
48453040900,409,30.3741907,-97.6963208,6562,2451,1.7490851962418712
48453040600,406,30.3634222,-97.7026672,3929,1446,0.8987966847708201
48453033400,334,30.2118405,-97.840445,2720,1169,2.0066652416301456
48453001922,19.22,30.2397433,-97.7974555,2324,1236,2.1857718892418694
48453001103,11.03,30.2590809,-97.73992,3339,2644,1.0109219845053572
48453035100,351,30.3429802,-97.9166988,4242,1617,6.929198681754011
48453030300,303,30.2238532,-97.7971955,4238,1975,2.315778995756302
48453030400,304,30.2107923,-97.8052987,4560,2212,2.583809356206426
48453034300,343,30.4366677,-97.813675,4893,1664,4.275821360442706
48453034400,344,30.4409314,-97.8316004,3378,1578,2.1543207890415492
