site_id,lat,lon,charger_count,charger_type,network
OCM_4343,30.260241,-97.753823,6,L2,ChargePoint
OCM_4638,30.20633,-97.75936,3,DCFC,unknown
OCM_5053,30.258713,-97.751992,6,L2,ChargePoint
OCM_5154,30.191115923061915,-97.77210831642151,3,DCFC,(Unknown Operator)
OCM_5693,30.268109,-97.749269,1,L2,(Unknown Operator)
OCM_19221,30.216443,-97.69223,8,L2,ChargePoint
OCM_26403,30.2201063,-97.8414142,2,L2,ChargePoint
OCM_26412,30.2599577,-97.7185673,2,L2,ChargePoint
OCM_26413,30.2604763,-97.7467678,5,L2,ChargePoint
OCM_26418,30.2730369,-97.7599861,4,L2,ChargePoint
OCM_26442,30.428827,-97.755163,4,L2,ChargePoint
OCM_41952,30.288602,-97.742362,5,L2,ChargePoint
OCM_51755,30.351799,-97.70791,1,L2,Tesla (Tesla-only charging)
OCM_51758,30.2520199,-97.7470902,1,L2,Tesla (Tesla-only charging)
OCM_51759,30.283176,-97.745492,2,L2,Tesla (Tesla-only charging)
OCM_51760,30.3272668,-97.9254155,2,L2,Tesla (Tesla-only charging)
OCM_51764,30.3953578,-97.7262403,2,L2,Tesla (Tesla-only charging)
OCM_66845,30.1873295,-97.663001,2,L2,Tesla (Tesla-only charging)
OCM_66852,30.2616179,-97.7422804,2,L2,Tesla (Tesla-only charging)
OCM_66854,30.2690776,-97.7419653,2,L2,Tesla (Tesla-only charging)
OCM_66859,30.2910848,-97.8587169,2,L2,Tesla (Tesla-only charging)
OCM_66868,30.408205,-97.666596,2,L2,Tesla (Tesla-only charging)
OCM_66869,30.410666,-97.849318,2,L2,Tesla (Tesla-only charging)
OCM_66873,30.4800386,-97.6865666,2,L2,Tesla (Tesla-only charging)
OCM_71274,30.3982556,-97.7175045,3,L2,Tesla (Tesla-only charging)
OCM_72144,30.250097,-97.74838,1,L2,Tesla (Tesla-only charging)
OCM_72145,30.2780642,-97.7101874,2,L2,ChargePoint
OCM_72877,30.2317577,-97.7294727,2,L2,ChargePoint
OCM_72878,30.2322565,-97.7984376,2,L2,ChargePoint
OCM_72879,30.3165756,-97.7576429,4,L2,ChargePoint
OCM_75770,30.3571063,-97.7486304,2,L2,Tesla (Tesla-only charging)
OCM_75771,30.3918212,-97.7497533,4,L2,Tesla (Tesla-only charging)
OCM_80110,30.4036314,-97.7199011,6,L2,ChargePoint
OCM_81416,30.259012,-97.747352,3,L2,Tesla (Tesla-only charging)
OCM_81537,30.352669,-97.70974,2,L2,Tesla (Tesla-only charging)
OCM_81612,30.265397,-97.746566,3,L2,Tesla (Tesla-only charging)
OCM_81983,30.44599,-97.868845,2,L2,Tesla (Tesla-only charging)
OCM_84579,30.250541,-97.749422,1,L2,Tesla (Tesla-only charging)
OCM_85015,30.440841,-97.779967,2,L2,Tesla (Tesla-only charging)
OCM_85698,30.259977,-97.739149,2,L2,Tesla (Tesla-only charging)
OCM_85870,30.251446,-97.74933,1,L2,Tesla (Tesla-only charging)
OCM_87307,30.396418,-97.931356,3,L2,Tesla (Tesla-only charging)
OCM_89130,30.255806,-97.872517,4,L2,ChargePoint
OCM_89135,30.408048,-97.725664,20,L2,ChargePoint
OCM_89895,30.2658848,-97.7488913,2,L2,ChargePoint
OCM_93254,30.26662,-97.740375,3,L2,Tesla (Tesla-only charging)
OCM_97575,30.293072,-97.555372,2,L2,Tesla (Tesla-only charging)
OCM_97965,30.329275,-97.706259,8,DCFC,Tesla (Tesla-only charging)
OCM_102309,30.2639605,-97.7448014,2,L2,ChargePoint
OCM_104405,30.477825,-97.680383,3,L2,Tesla (Tesla-only charging)
OCM_105494,30.475146,-97.801817,4,L2,Tesla (Tesla-only charging)
OCM_108710,30.309487,-97.935413,4,L2,Tesla (Tesla-only charging)
OCM_109986,30.271704,-97.713959,2,L2,ChargePoint
OCM_114058,30.256871,-97.872615,4,L2,Tesla (Tesla-only charging)
OCM_120063,30.168498,-97.795821,2,L2,ChargePoint
