traffic_report_id,published_date,issue_reported,latitude,longitude,address,traffic_report_status,agency
F350D780EA8AAA48030B4DB64F790C14DBCD757F_1709688579,2024-03-06T01:29:39.000Z,Stalled Vehicle,30.32358,-97.705874,E 290 Svrd Wb To Ih 35 Nb Ramp / N Ih 35 Svrd Sb At E 290 Tr,ARCHIVED,AUSTIN PD           
042338D46C2028808F298DEC735DC7ADF0C162F6_1709688402,2024-03-06T01:26:42.000Z,Crash Urgent,30.342505,-97.698567,8024 N Ih 35 Svrd Sb,ARCHIVED,AUSTIN PD           
BE73E73B642ECB6C6EDB4A52875A8017F69DFE5E_1708035468,2024-02-15T22:17:48.000Z,LOOSE LIVESTOCK,30.0578,-97.717911,12400 Glass Rd,ARCHIVED,TRAVIS COUNTY SHERIF
A5909010064EF753C5F090A07CFCDDFBF25E38F3_1586554271,2020-04-10T21:31:11.000Z,TRFC HAZD/ DEBRIS,30.140878,-97.866676,S Sh 45 W Eb & S Sh 45 W Eb To Bliss Spillar Ramp,ARCHIVED,
4A6C39763AD109EB75CE31C1EBFD53A0E883EE68_1654365065,2022-06-04T17:51:05.000Z,Traffic Hazard,30.455444,-97.825791,Anderson Mill Rd & N Fm 620 Rd,ARCHIVED,
388082EEB5EE93B2E562236F9D37CD0B5D74F08E_1709688918,2024-03-06T01:35:18.000Z,COLLISION,30.139435,-97.823787,665 W FM 1626 TO STATION,ARCHIVED,TRAVIS COUNTY SHERIF
09203A0B810D0C054F3F15D6DB42AA850BEA9174_1709681646,2024-03-05T23:34:06.000Z,Crash Urgent,30.475283,-97.810932,2787 S Lakeline Blvd,ARCHIVED,AUSTIN PD           
0864A91883AB86909614F36A588EE81376A25C45_1709682781,2024-03-05T23:53:01.000Z,COLLISION,30.453168,-97.666111,15700 N Ih 35 Nb,ARCHIVED,TRAVIS COUNTY SHERIF
EE79CFC6DDF6B115A67C91FA940471B9FE90429B_1709694018,2024-03-06T03:00:18.000Z,TRFC HAZD/ DEBRIS,30.159536,-97.728051,7513 MC KINNEY FALLS PKWY,ARCHIVED,TRAVIS COUNTY SHERIF
619683DB9EF9D4649743EE1DEDDB3923D6E5F704_1709692025,2024-03-06T02:27:05.000Z,Traffic Hazard,30.260127,-97.709495,E 7th St / N Pleasant Valley Rd,ARCHIVED,AUSTIN PD           
9F06007D02B7DA59126A69422F135FCEE39E7652_1709687381,2024-03-06T01:09:41.000Z,COLLISION,30.140551,-97.830282,910-1001 W FM 1626 RD,ARCHIVED,TRAVIS COUNTY SHERIF
A7095041184FCA321A7B69AFA0B28972142BC486_1709683853,2024-03-06T00:10:53.000Z,COLLISION/PRIVATE PROPERTY,30.129219,-97.643265,13000 Fm 812 Rd,ARCHIVED,TRAVIS COUNTY SHERIF
9521E2BCC9C0DE945CCF68B52345097002B66BA5_1709693122,2024-03-06T02:45:22.000Z,Crash Urgent,30.20489,-97.774813,S Congress Ave / W Stassney Ln,ARCHIVED,AUSTIN PD           
3B987A82043F7DF95B5784095B5CE3BB870DC709_1709687906,2024-03-06T01:18:26.000Z,COLLISION,30.349104,-97.5416,11925-12033 E Us 290 Hwy Eb,ARCHIVED,TRAVIS COUNTY SHERIF
E90E88C880E48E96024E634381BA1AD4888E72E0_1709690659,2024-03-06T02:04:19.000Z,Crash Urgent,30.202818,-97.760691,5200 S Ih 35 Sb,ARCHIVED,AUSTIN PD           
0F85D55F03E24BEEBF29AA28050587A8E1DB7EEF_1656433242,2022-06-28T16:20:42.000Z,LOOSE LIVESTOCK,30.135703,-97.654847,11300-12509 Fm 812 Rd,ARCHIVED,
7FCDB7BA6DE74B6E007EFE1079540E0228817D26_1709692238,2024-03-06T02:30:38.000Z,Crash Urgent,30.346648,-97.696568,8312 N IH 35 SVRD SB,ARCHIVED,AUSTIN PD           
1D3309AE08FFC29BCA69577541E57D3D5AB66341_1707830294,2024-02-13T13:18:14.000Z,Traffic Hazard,30.295727,-97.642223,6500 Sendero Hills Pkwy,ARCHIVED,AUSTIN PD           
A4DE97E713F1A7CD2CE310637380FD3E9881BBB6_1708035950,2024-02-15T22:25:50.000Z,Crash Urgent,30.21963,-97.743908,Woodward St / Parker Ln,ARCHIVED,AUSTIN PD           
752500DA7E91A2ED173B243E9F7EE0C43EB25038_1707830343,2024-02-13T13:19:03.000Z,COLLISION,30.090214,-97.73439,12008-12305 Fm 1625 Rd,ARCHIVED,TRAVIS COUNTY SHERIF
B5883DC5A6E6B2FF4594AA6CA86CF5739A5AB5E2_1709694890,2024-03-06T03:14:50.000Z,Crash Service,30.173735,-97.801316,614-712 W Slaughter Ln,ARCHIVED,AUSTIN PD           
B369414C7CF027CAD9F6D8D9681B1B123DB8477F_1708035947,2024-02-15T22:25:47.000Z,Traffic Hazard,30.303048,-97.65712,5700-5908 Loyola Ln,ARCHIVED,AUSTIN PD           
6749B393A4DCF7777745CDD18F3E6FA3B43A2D22_1708035863,2024-02-15T22:24:23.000Z,Traffic Hazard,30.43449,-97.731652,13000-13108 LEGENDARY DR,ARCHIVED,AUSTIN PD           
DE62D8119CFAFFD3639CDD8A8DEEA6A2A0EA7633_1712265722,2024-04-04T21:22:02.000Z,COLLISION,30.341884,-97.663056,9100-9619 SPRINKLE RD,ARCHIVED,TRAVIS COUNTY SHERIF
CB197B480A07A794B94CA9D50661DB1FAD2E3873_1710939462,2024-03-20T12:57:42.000Z,Crash Urgent,30.228576,-97.784825,1400-1922 W Ben White Blvd Wb,ARCHIVED,AUSTIN PD           
3FC863D5EBE3F2A780C3D0ACB17F37294D4FD0A2_1709691272,2024-03-06T02:14:32.000Z,Crash Service,30.237929,-97.686926,443 Bastrop Hwy Nb,ARCHIVED,AUSTIN PD           
2D97D80F5AF467CAF6A638D16C539634E7B1B7A1_1710460991,2024-03-15T00:03:11.000Z,Crash Urgent,30.196655,-97.765705,6000 S Ih 35 Sb,ARCHIVED,AUSTIN PD           
3A85D2178D036673A374A5ACAB7DA4DE0361B6E8_1709696289,2024-03-06T03:38:09.000Z,Traffic Hazard,30.199406,-97.763875,5500-5714 S Ih 35 Svrd Sb,ARCHIVED,AUSTIN PD           
ECBC54904EB7FE332C5764CBEFEEE200527FF160_1709698461,2024-03-06T04:14:21.000Z,Crash Service,30.2432,-97.729524,1210 Parker Ln,ARCHIVED,AUSTIN PD           
CF68E0888FC08402C6E0ADE2DCA77AC9ACFE240E_1709682208,2024-03-05T23:43:28.000Z,TRFC HAZD/ DEBRIS,30.189064,-97.618472,4334-4434 E Sh 71 Eb,ARCHIVED,TRAVIS COUNTY SHERIF
831376F92ED066E803751A5A0C0ECD90A104915A_1709681984,2024-03-05T23:39:44.000Z,Crash Service,30.373516,-97.727819,9070 Research Blvd Svrd Sb,ARCHIVED,AUSTIN PD           
870F1BF229DA5EB26E5E5A7C1D69D9451FA7906A_1709683104,2024-03-05T23:58:24.000Z,Stalled Vehicle,30.174101,-97.798891,S 1st St / Ralph Ablanedo Dr,ARCHIVED,AUSTIN PD           
39736DCBAFB7FA0A7BA7EFD0167B660291181970_1710941036,2024-03-20T13:23:56.000Z,Crash Service,30.336651,-97.662567,8013 Exchange Dr,ARCHIVED,AUSTIN PD           
45B2AFB1F1CF4D14987CE1DFB6DFB52281D8D288_1710462367,2024-03-15T00:26:07.000Z,Crash Urgent,30.192941,-97.778868,S Congress Ave / W William Cannon Dr,ARCHIVED,AUSTIN PD           
07599DFEB405554B03E43A8096F0B42F7ED392B4_1710797335,2024-03-18T21:28:55.000Z,Traffic Hazard,30.319925,-97.696726,Cameron Rd / E 290 Svrd Eb To Cameron Ramp,ARCHIVED,AUSTIN PD           
C84AE5A29628044CBA70BED7589819F26AB3054B_1709691125,2024-03-06T02:12:05.000Z,COLLISION,30.140885,-97.616868,8000-8032 Elroy Rd,ARCHIVED,TRAVIS COUNTY SHERIF
0A8FD3E9944C54C4399A005554DCC4F33405A363_1709699727,2024-03-06T04:35:27.000Z,Crash Urgent,30.255264,-97.736955,40 N Ih 35 Sb,ARCHIVED,AUSTIN PD           
